"gene_names","var_zt","var_ict"
"ATP6V0E2",1.4526,1.458
"DNASE1",0.9837,1.118
"TMEM138",1.2048,1.052
"CLPP",1.1231,0.9188
"HDAC4",1.2556,1.0105
"NRF1",1.4269,1.4031
"DENND3",0.7399,0.4856
"TMEM45B",1.3263,1.2683
"B3GALT6",0.993,0.7976
"MCM9",1.2651,1.1933
"CHCHD7",1.0851,0.8464
"CYTH1",1.5132,1.5731
"BCL11B",0.3441,0.2173
"ZNF33A",1.3458,1.2011
"RBM6",1.1844,1.1753
"CBFA2T3",1.1563,1.166
"BAG1",1.2641,1.1484
"RNASEK",0.5678,0.4946
"PEX14",0.6786,0.4798
"HNRNPUL2",1.0982,1.2709
"TOP3A",0.9788,0.6854
"TIMELESS",0.9779,1.0424
"POMP",1.5074,1.643
"SETD1A",1.7627,1.8972
"C14orf159",0.7069,0.5636
"ARL2",1.8831,1.7023
"C21orf2",1.2839,1.3144
"ENY2",1.4041,1.0995
"SH3BGRL",1.379,1.4548
"NT5C2",0.8855,0.6607
"SLC25A14",1.6831,1.4185
"CXorf38",1.2001,0.9256
"GBE1",1.4204,1.365
"RCN2",1.1108,0.9548
"CLK2",1.665,1.7893
"C1orf216",1.8943,1.971
"KDM2A",1.3653,1.1705
"ALDH3A2",0.6897,0.7054
"ITPR1",0.8299,0.6799
"RNF214",0.7525,0.578
"AARS",0.9063,0.9241
"EZR",0.7311,0.8376
"SAMM50",1.3358,1.2996
"VDAC1",1.3632,1.4694
"ATP13A2",0.8499,0.6666
"EAF1",1.7914,1.5828
"ZNF397",1.3586,1.2465
"ZNF613",1.4923,1.2938
"PIK3CG",1.039,0.8135
"AHCTF1",1.7172,1.5777
"ULK1",0.6391,0.3805
"TNKS2",1.53,1.3393
"STRAP",0.8974,0.5836
"LEPROTL1",0.7857,0.6111
"FAM172A",1.2944,1.1537
"TTC9",1.5888,1.3644
"B9D2",0.702,0.5617
"HMGB2",1.5878,1.5328
"HOPX",1.5431,1.7858
"KYNU",1.6966,1.5494
"SLC31A1",0.9876,0.8727
"PIK3IP1",0.4542,0.3719
"GPATCH4",0.9177,0.7191
"PSMB6",1.6983,1.4606
"INO80",0.7164,0.7292
"PPME1",1.3442,1.281
"MAPK14",0.9138,0.6869
"LILRB4",0.5993,0.3498
"CLINT1",1.6678,1.6616
"GAPT",0.9184,0.9375
"KLHL36",1.284,1.4006
"KIF3B",1.2322,1.4376
"MARCH2",0.8592,0.7761
"BCAP29",1.1863,1.4443
"UBC",0.9674,0.8549
"FAM91A1",1.1776,0.9672
"CLEC4A",1.5092,1.5343
"NSUN6",0.7429,0.5642
"RMND5A",1.3417,1.0649
"SNRPB2",1.4049,1.0627
